epoch,concatenate_10_acc,concatenate_10_loss,concatenate_11_acc,concatenate_11_loss,concatenate_12_acc,concatenate_12_loss,concatenate_13_acc,concatenate_13_loss,concatenate_14_acc,concatenate_14_loss,concatenate_15_acc,concatenate_15_loss,concatenate_16_acc,concatenate_16_loss,concatenate_17_acc,concatenate_17_loss,concatenate_6_acc,concatenate_6_loss,concatenate_7_acc,concatenate_7_loss,concatenate_8_acc,concatenate_8_loss,concatenate_9_acc,concatenate_9_loss,loss
0,0.0281852606563,128.747271667,0.964865132981,68.7327920532,0.0257529546142,130.866445251,0.964863948061,67.8151763306,0.0291234666379,129.386213867,0.964863477249,68.1733995743,0.0323999349307,132.426795288,0.964863356479,67.7612981186,0.0133280955497,134.52100705,0.96486382573,66.8049630356,0.0189575846393,131.480332611,0.964871628707,67.7394176559,1199.71393408
1,0.0736325804144,110.479096252,0.968667351484,45.2079369125,0.0535313171372,110.908616486,0.9687700243,38.8443132019,0.0567139748111,110.607397217,0.968662503958,44.6454709549,0.0400922772735,112.018203674,0.968856743097,38.5839802628,0.0324271094948,123.463327301,0.96866640687,46.6725164871,0.0431534774043,110.828807526,0.968667704105,44.1044687424,941.643146484
2,0.0653779614419,100.096775391,0.969266593695,35.9133706741,0.0772595869601,100.364763733,0.969819645643,33.2247793503,0.0630190290958,100.282520325,0.969307477236,35.5897525024,0.0654155338407,100.699182343,0.969893841505,32.800320694,0.0624264091104,115.188434662,0.968738470316,40.2775398483,0.0705132410154,100.263529602,0.969298140287,35.229502327,835.250993408
3,0.0713952165022,93.8678429565,0.97053242898,30.3163485565,0.0772319381461,93.8298647614,0.970790106058,29.7519105759,0.0784911550805,93.8825084229,0.970520848513,30.5254797592,0.0782838049158,94.1170056305,0.970920898914,29.2635808105,0.0393044687808,109.031601166,0.969038813353,35.7039345551,0.0773125124499,93.7652778778,0.970480567694,30.6151915741,770.041444458
4,0.0621658847779,89.5831424408,0.971335714102,27.9273894577,0.0639812206179,89.4932296753,0.971513765812,27.6528505173,0.0633871774077,89.7089464417,0.971348943949,27.9647715378,0.0654458935559,89.8101867065,0.971657902241,27.363252243,0.0590828346461,105.537557678,0.969869502068,32.9863526917,0.0629578268975,89.4943031769,0.971271915674,28.1333657761,731.076811401
5,0.0782867559046,87.1662180328,0.972030894756,26.6535904083,0.0610068564564,87.1420840454,0.972137814522,26.6008004456,0.0665996083468,87.368123642,0.97204979682,26.6637593384,0.073354100883,87.3866388397,0.972281371117,26.2799777107,0.038608460851,102.799228241,0.970382263422,31.7670518341,0.065825385116,87.0730952454,0.971888884068,27.0523157349,709.425744507
6,0.077148995623,82.8143446655,0.973009629965,25.0082938004,0.0603616534173,82.7211710358,0.973074136972,24.9637145538,0.061325970158,82.7939701385,0.97305133152,24.9752598381,0.0737464659065,83.0462709656,0.973177752972,24.7082693634,0.0404423458725,99.1585392151,0.970882382631,30.4739966431,0.0645117012411,82.7380296021,0.972847652435,25.2124658508,674.137910522
7,0.0659468419254,80.5849273987,0.973384631634,24.1946574516,0.0668857578784,80.5063042755,0.973434136629,24.1370021057,0.0645420693308,80.6961006317,0.973449379206,24.2016357956,0.0851024480462,80.7484561615,0.973553700447,23.9790284233,0.054128906332,97.2312994385,0.971048499107,29.6525577393,0.072714683935,80.5471416473,0.973273339033,24.3815019302,656.435204468
8,0.0715721977055,78.553154129,0.973957173586,23.4787449646,0.0744688189179,78.42585495,0.974001951694,23.4354031334,0.0804388157576,78.5350335083,0.973994040728,23.4880950089,0.0785248205513,78.745192627,0.974085953236,23.3712962341,0.0454078471586,95.312736908,0.971460361004,28.803177124,0.0771840812564,78.5089286957,0.973826266289,23.6773057709,639.961817383
9,0.0668677968532,77.0271909943,0.974102616072,22.8173482742,0.0667832039893,76.9369996948,0.974083711386,22.8420424156,0.0800935846865,77.054072876,0.974118676901,22.8472203674,0.0740730236173,77.1792347717,0.974189218521,22.7184529953,0.0534352624267,94.1846564941,0.971417117834,28.2681173401,0.0760232850164,76.9907030029,0.973973597527,23.0293360252,627.575144409
10,0.0712700956762,75.581936554,0.974457408428,22.3694787674,0.0671551349014,75.4693807526,0.974399868488,22.4296148529,0.0821849168688,75.5386808014,0.974449138641,22.3956775665,0.062328217119,75.7191945343,0.974507385969,22.3120591583,0.0512563858926,92.9692534943,0.971680941105,27.8388569565,0.0700464405566,75.4531272583,0.974287272453,22.6461991768,616.456216919
11,0.0685684148669,73.8548513489,0.974940753222,21.8493357735,0.0670270621181,73.7905153503,0.974848479509,21.9104702721,0.07136945723,73.8672729187,0.974934962034,21.8683230438,0.0679794475436,74.0956063232,0.974957057238,21.8189852753,0.0453813821822,91.3843959961,0.971945000172,27.2248965912,0.0697235452086,73.8535202179,0.974730803013,22.0633126144,603.366735596
12,0.0802407996356,71.7908063812,0.975237419128,21.0963147545,0.0824449578673,71.7301417847,0.975160626173,21.2024055939,0.0905041553527,71.7447597809,0.975199377537,21.1550585289,0.0910210472494,71.9582788849,0.975245931149,21.0649628906,0.0505159555823,89.5320566559,0.97221744895,26.575887413,0.0734652756602,71.8245659943,0.975015661001,21.4149305954,586.927604614
13,0.0832260322869,70.6183341827,0.975535626173,20.7470470009,0.0820626359135,70.550385498,0.975511761665,20.7729313736,0.0765627506822,70.6439138641,0.975566696644,20.7721315765,0.087349141717,70.866448761,0.975587253094,20.7059007454,0.0548236129582,88.561958374,0.972447960615,26.1033310928,0.0840771674216,70.6490037231,0.975422085524,20.9552798996,577.834752319
14,0.0648852843195,69.7257220764,0.97571107316,20.3531839371,0.0673174690753,69.742669632,0.975673976421,20.4056571236,0.0638454692215,69.7287622681,0.975715687275,20.3976751328,0.0750846021026,69.9258995514,0.975775348902,20.3112615013,0.0485535240546,87.7475422974,0.97244713068,25.7839682541,0.0774696492553,69.8567458496,0.975493916988,20.6545428848,570.573439209
15,0.0773824529499,68.4275984955,0.976042479038,20.039710495,0.0852975119203,68.4646694794,0.976000176668,20.0673857346,0.0903923842907,68.4994363098,0.976033033133,20.087540081,0.0735927530378,68.6469945374,0.976062443256,20.0131693611,0.0508638966829,86.6410644531,0.972835832596,25.424489994,0.0867771864384,68.7150851898,0.975897744417,20.2484353561,561.268774536
16,0.0875404216498,67.5623753052,0.976169250011,19.6085313072,0.0906436866075,67.4094277954,0.9761390028,19.6625151024,0.0906078871042,67.4608751221,0.976160624027,19.6759272995,0.0836376538724,67.5898590393,0.976176103115,19.6104828186,0.0482744585872,85.7037426453,0.972876239061,25.0309469757,0.0880006055385,67.6334500275,0.975958355904,19.9392303123,552.933036255
17,0.0751452138573,66.4893552704,0.976489548922,19.3037067337,0.0728633140922,66.4365420532,0.976441817045,19.3439595604,0.075541126132,66.3704398346,0.976498759508,19.3315883026,0.0656131917238,66.5007205505,0.976544958353,19.2846040955,0.0514975215867,84.6170019226,0.973147036552,24.709760643,0.0757622983456,66.5973724365,0.97630393362,19.6582022324,544.741533691
18,0.0834138840735,65.1624153137,0.976727972746,18.853668148,0.0968002359122,65.0221164703,0.976705640316,18.8711844482,0.0967607737482,65.1096609802,0.976722182035,18.8742902412,0.0760705444217,65.1307993469,0.976774403334,18.7761367531,0.0491955363601,83.6181595764,0.973382623911,24.3395577698,0.0874581932575,65.5105104065,0.976518028975,19.2158619499,534.636693115
